😭	dmugħ, imdejjaq, jibki, jolfoq, wiċċ, wiċċ jibki jgħajjat
😱	biża’, għomod, imbeżża’, tal-biża’, werżaq, wiċċ, wiċċ iwerżaq bil-biża’
😖	imħawwad, wiċċ, wiċċ imħawwad
😣	perseveranti, wiċċ, wiċċ perseveranti
😞	diżappuntat, wiċċ, wiċċ diżappuntat
😓	għaraq, kiesaħ, wiċċ, wiċċ b’għaraq kiesaħ
😩	għajjien, għeja, wiċċ, wiċċ mimli għeja
😫	għajjien, wiċċ, wiċċ għajjien
😤	rebaħ, rebbieħ, wiċċ, wiċċ bid-duħħan ħiereġ mill-imnieħer
😡	aħmar, irrabjat, irrabjat ħafna, rabja kbira, sporġa xofftejh, wiċċ, wiċċ jisporġi x-xofftejn
😠	irrabjat, irrabjat ħafna, wiċċ, wiċċ irrabjat
🤬	dagħa, wiċċ bis-simboli fuq il-ħalq
😈	fantasija, qrun, tbissem, wiċċ, wiċċ jitbissem bil-qrun, ħrafa
👿	dimonju, fantasija, għafrit, wiċċ, wiċċ irrabjat bil-qrun, xitan, ħrafa
💀	kranju, mewt, mostru, wiċċ, ħrafa
☠️	crossbones, kranju, kranju u crossbones, mewt, mostru, wiċċ
💩	demel, komiku, mostru, munzell ħmieġ, purgar, wiċċ, ħmieġ
🤡	buffu, wiċċ, wiċċ ta’ buffu
👹	fantasija, kreatura, mostru, orku, wiċċ, ħrafa
👺	fantasija, goblin, kreatura, mostru, wiċċ, ħrafa
👻	fantasija, fatat, kreatura, mostru, wiċċ, ħrafa
👽️	UFO, aljen, extraterrestrijali, fantasija, kreatura, mostru, wiċċ, ħrafa
👾	UFO, aljen, extraterrestrijali, fantasija, mostru, mostru aljen, wiċċ, ħrafa
🤖	mostru, robot, wiċċ, wiċċ ta’ robot
😺	jitbissem, miftuħ, qattus, wiċċ, wiċċ ta’ qattus jitbissem b’ħalq miftuħ, ħalq
😸	għajn, jidħaq, jitbissem, qattus, wiċċ, wiċċ ta’ qattus jidħak ħafna b’għajnejn jitbissmu
😹	dmugħ, kant, qattus, wiċċ, wiċċ ta’ qattus bi dmugħ ta’ ferħ
😻	għajn, imħabba, jitbissem, qattus, wiċċ, wiċċ ta’ qattus jitbissem b’għajnejn bil-qlub
😼	imqarras, ironiku, jitbissem, qattus, wiċċ, wiċċ ta’ qattus bi tbissima mqarrsa
😽	bewsa, għajn, qattus, wiċċ, wiċċ ta’ qattus ibewwes b’għajnejn magħluqin
🙀	għajjien, mistgħaġeb, oh, qattus, wiċċ, wiċċ ta’ qattus għajjien
😿	dmugħ, imdejjaq, jibki, qattus, wiċċ, wiċċ ta’ qattus jibki
😾	jisporġi x-xofftejn, qattus, wiċċ, wiċċ ta’ qattus jisporġi x-xofftejn
🙈	ara, ma, mhux, pprojbit, pprojbiti, wiċċ, xadina, xadina li ma tara ebda ħażen, ġesti, ħażen
🙉	isma’, ma, mhux, pprojbit, pprojbiti, wiċċ, xadina, xadina li ma tisma’ ebda ħażen, ġesti, ħażen
🙊	ma, mhux, pprojbit, pprojbiti, tkellem, wiċċ, xadina, xadina li ma titkellem ebda ħażen, ġesti, ħażen
💋	bews, marka ta’ bewsa, xofftejn
💌	imħabba, ittra, ittra ta’ mħabba, posta, qalb
💘	kupidu, qalb bi vleġġa, vleġġa
💝	qalb b’ċoff, valentinu, żigarella
💖	eċċitat, qalb tfexfex, tfexfex
💗	eċċitat, nervuża, polz, qalb tikber, tkabbir
💓	qalb tħabbat, taħbita tal-qalb, tħabbat
💞	iduru, qlub iduru
💕	imħabba, żewġt iqlub
💟	dekorazzjoni ta’ qalb, qalb
❣️	esklamazzjoni, esklamazzjoni ta’ qalb miġugħa, marka, punteġġjatura
💔	kisser, maqsuma, qalb maqsuma
❤️	qalb, qalb ħamra
🧡	oranġjo, qalb oranġjo
💛	isfar, qalb safra
💚	aħdar, qalb ħadra
💙	blu, qalb blu
💜	qalb vjola, vjola
🖤	iswed, qalb sewda, ħażen, ħażin
💯	100, mija, mitt punt, punteġġ, sħiħ
💢	irrabjat, irrabjat ħafna, komiku, simbolu ta’ rabja
💥	boom, komiku, ħabta
💫	kewkba, komiku, stordut
💦	għaraq, komiku, qed itajjar, qtar tal-għaraq
💨	jaħrab ’l hemm, komiku, qed jiġri, sing
🕳️	toqba
💣️	bomba, komiku
💬	buzzieqa, bużżieqa, bużżieqa tad-diskors, djalogu, komik, taħdit
👁‍🗨	bużżieqa tad-diskors, għajn, għajnejn f’bużżieqa tad-diskors, xhud
🗨️	bużżieqa tad-diskors fuq ix-xellug, diskors, djalogu
🗯️	buzzieqa, bużżieqa, bużżieqa ta’ rabja fuq il-lemin, irrabjat, irrabjat ħafna
💭	bużżieqa, bużżieqa tal-ħsibijiet, djalogu, komiku, taħdit
💤	irqad, komiku, zzz
👋	id, id ixxejjer, qed ixejjer, xejjer
🤚	id minn wara, id minn wara mgħollija, mgħollija
🖐️	id, id mgħollija bl-iswaba’ mfettħa, mfettħa, suba’
✋	id, id mgħollija
🖖	id, salut ta’ vulcan, spock, suba’, vulcan
👌	OK, id, id OK
✌️	id, id tar-rebħa, rebħa, v
🤞	bl-idejn, inkroċja, subgħa, swaba nkroċjati, xorti
🤟	ILY, id, ġest ta’ mħabba
🤘	id, qrun, rock-on, sinjal tal-qrun, suba’
🤙	id, id ċempilli, sejħa
👈️	b’lura, idejn, indiċi, indiċi b’lura iipponta lejn ix-xellug, punt, suba’
👉️	b’lura, idejn, indiċi, indiċi b’lura li jipponta lejn il-lemin, punt, suba’
👆️	id, indiċ, indiċi b’lura, indiċi b’lura li jipponta ’l fuq, ipponta, suba’, ’l fuq
🖕	id, suba’, suba’ tan-nofs
👇️	id, indiċi, indiċi b’lura, indiċi b’lura li jipponta ’l isfel, punt, suba’, ’l isfel
☝️	id, indiċi, indiċi li jipponta ’l fuq, ipponta, suba’, ’l fuq
👍️	+1, behem, behem ’il fuq, id, ’il fuq
👎️	-1, behem, behem ’l isfel, id, ’l isfel
✊	daqqa ta’ ponn, id, ponn, ponn mgħolli, ħafen
👊	daqqa ta’ ponn, id, ponn, ponn dieħel, ħafen
🤛	l-ewwel, lejn ix-xellug, ponn iħares lejn ix-xellug
🤜	l-ewwel, lejn il-lemin, ponn iħares lemin
👏	id, idejn iċapċpu, ċapċap
🙌	bl-idejn, hooray, idejn mgħollija, mgħollija, ċelebrazzjoni, ġesti
👐	id, idejn miftuħa, miftuħa
🤲	pali tal-idejn flimkien, talb
🤝	b’idejn, ftehim, handshake, laqgħa, ħu, ħu bl-idejn
🙏	Staqsi, bl-idejn, grazzi, idejn magħluqa, inkina, jekk jogħġbok, jitolbu, magħluqa, ġesti
✍️	id, id li tikteb biha, tikteb
💅	dwiefer, kosmetiċi, kura, manicure, nail polish, polish
🤳	kamera, stessu, telefown
💪	biceps, biceps bil-muskoli, flex, komiku, muskoli
👂️	widna, ġisem
👃	imnieħer, ġisem
🧠	intelliġenti, moħħ
👀	għajn, għajnejn, wiċċ
👁️	għajn
👅	ilsien
👄	xufftejn, ħalq
👶	tarbija
🧒	newtrali fil-ġeneru, tfal, żgħażagħ
👦	tifel, żagħżugħ
👧	Virgo, tifla, żgħażagħ, żodjaku
🧑	adult, newtrali fil-ġeneru
👱	persuna b’xagħar isfar, xagħara isfar
👨	raġel
🧔	baffi, persuna bil-baffi
👱‍♂	raġel, raġel b’xagħar isfar, xagħar isfar
👩	mara
👱‍♀	mara, mara b’xagħar isfar, xagħar isfar
🧓	adulti anzjan, anzjan, newtrali fil-ġeneru
👴	raġel, raġel xiħ, xiħ
👵	mara, mara xiħa, xiħa
🙍	persuna titkerrah, titkerrah, ġesti
🙍‍♂	jitkerrah, raġel, raġel jitkerrah, ġesti
🙍‍♀	mara, mara titkerrah, titkerrah, ġesti
🙎	jisporġi x-xofftejn, persuna tisporġi x-xofftejn, ġesti
🙎‍♂	jisporġi x-xofftejn, raġel, raġel jisporġi x-xofftejn, ġesti
🙎‍♀	mara, mara tisporġi x-xofftejn, tisporġi x-xofftejn, ġesti
🙅	bl-idejn, ma, mhux, persuna tagħmel sinjal ta’ LE, pprojbiti, projbit, ġesti
🙅‍♂	bl-idejn, mhux, pprojbiti, projbit, raġel, raġel jagħmel sinjal ta’ LE, ġesti
🙅‍♀	bl-idejn, mara, mara tagħmel sinjal ta’ LE, mhux, pprojbiti, projbit, ġesti
🙆	OK, bl-idejn, persuna tagħmel sinjal ta’ OK, ġesti
🙆‍♂	OK, bl-idejn, raġel, raġel jagħmel sinjal ta’ OK, ġesti
🙆‍♀	OK, bl-idejn, mara, mara tagħmel sinjal ta’ OK, ġesti
💁	għajnuna, idha, l-informazzjoni, persuna tbaxxi idha, tbaxxi, tost
💁‍♂	raġel, raġel ibaxxi idejh, tbaxxija tal-idejn, tost
💁‍♀	mara, mara tbaxxi idha, tbaxxija tal-idejn, tost
🙋	bl-idejn, għolli, kuntentizza, persuna tgħolli idha, ġesti
🙋‍♂	jgħolli l-idejn, raġel, raġel jgħolli idejh, ġesti
🙋‍♀	għolli l-idejn, mara, mara tgħolli idha, ġesti
🙇	apoloġija, inkina, jiddispjaċina, persuna tinkina, ġesti
🙇‍♂	apoloġija, favur, inkina, jiddispjaċih, raġel jikina, reġel, ġesti
🙇‍♀	apoloġija, favur, inkina, jiddispjaċih, mara, mara tikina, ġesti
🤦	eżasperazzjoni, ma jitwemminx, pala, persuna tagħmel facepalm, wiċċ
🤦‍♂	eżasperazzjoni, facepalm, ma jitwemminx, raġel, raġel jagħmel facepalming
🤦‍♀	eżasperazzjoni, facepalm, ma jitwemminx, mara, mara tagħmel facepalming
🤷	dubju, indifferenza, injoranza, persuna xxengel spallejha, xengel spallejn
🤷‍♂	dubju, għolli spallejn, indifferenzi, injoranza, raġel, raġel ixengel spallejh
🤷‍♀	dubju, għolli spallejn, indifferenzi, injoranza, mara, mara xxengel spallejha
👨‍⚕	bniedem, infermiera, kura tas-saħħa, tabib, terapista, ħaddiem fil-kura tal-bniedem
👩‍⚕	infermiera, kura tas-saħħa, mara, mara fil-kura tas-saħħa, tabib, terapista
👨‍🎓	gradwat, raġel, student, student maskil
👩‍🎓	gradwat, mara, student, student femminil
👨‍🏫	għalliem, professur, raġel
👩‍🏫	għalliem, għalliema, mara, professur
👨‍⚖	imħallef maskil, miżien, raġel, ġustizzja
👩‍⚖	imħallef, imħallef mara, mara, miżien
👨‍🌾	bidwi, bidwi maskil, raġel, raħħal, ġardinar
👩‍🌾	bidwi, bidwi femminil, mara, raħħal, ġardinar
👨‍🍳	chef, kok, kok maskil, raġel
👩‍🍳	chef, kok, kok femminil, mara
👨‍🔧	electrician, mekkanik, mekkanik maskili, plumber, raġel, ħaddiem tas-sengħa
👩‍🔧	electrician, mara, mekkanik, mekkanik mara, plumber, ħaddiem tas-sengħa
👨‍🏭	assemblaġġ, fabbrika, industrijali, raġel, ħaddiem, ħaddiem tal-fabbrika
👩‍🏭	assemblaġġ, fabbrika, industrijali, mara, ħaddiem, ħaddiema tal-fabbrika
👨‍💼	maniġer, negozju, perit, raġel, raġel jaħdem f’uffiċċju, uffiċċju, ħaddiema professjonali
👩‍💼	maniġer, mara, mara taħdem f’uffiċċju, negozju, perit, uffiċċju, ħaddiema professjonali
👨‍🔬	bijologu, fiżiċist, inġiniera, matematiku, raġel, spiżjar, xjenzat, xjenzat maskili
👩‍🔬	bijologu, fiżiċist, inġinier, mara, matematiku, spiżjar, xjenzat, xjenzata mara
👨‍💻	inventur, kodifikatur, raġel, softwer, teknoloġist, teknoloġist maskili, żviluppatur
👩‍💻	coder, inventur, mara, softwer, teknoloġist, teknoloġist femminili, żviluppatur
👨‍🎤	attur, entertainer, kantant, kantant maskili, raġel, rock, star
👩‍🎤	attur, entertainer, kantant, katant femminil, mara, rock, star
👨‍🎨	artist, artist maskili, paletta, raġel
👩‍🎨	artist, artist femminil, mara, tavlozza
👨‍✈	ajruplan, pilota, pilota tal-bniedem, raġel
👩‍✈	ajruplan, mara, pilota, pilota mara
👨‍🚀	astronawt, astronawt maskil, raġel, rokit
👩‍🚀	astronawt, astronawta mara, mara, rokit
👨‍🚒	raġel, vettura tat-tifi tan-nar, ħaddiem tat-tifi tan-nar, ħaddiem tat-tifi tan-nar maskil
👩‍🚒	mara, vettura tat-tifi tan-nar, ħaddiem tat-tifi tan-nar, ħaddiem tat-tifi tan-nar femminil
👮	pulizija, tal-pulizija, uffiċjal, uffiċjal tal-pulizija
👮‍♂	pulizija, raġel, tal-pulizija, uffiċjal, uffiċjal tal-pulizija raġel
👮‍♀	mara, pulizija, tal-pulizija, uffiċjal, uffiċjal tal-pulizija mara
🕵️	ditektiv, spija
🕵‍♂	ditektiv, ditektiv raġel, raġel, spija
🕵‍♀	ditektiv, ditektiv mara, mara, spija
💂	gwardjan
💂‍♂	gwardjan, gwardjan raġel, raġel
💂‍♀	gwardjan, gwardjan mara, mara
👷	kappell, kostruzzjoni, ħaddiem, ħaddiem tal-kostruzzjoni
👷‍♂	kostruzzjoni, raġel, ħaddiem, ħaddiem tal-kostruzzjoni maskili
👷‍♀	kostruzzjoni, mara, ħaddiem, ħaddiem tal-kostruzzjoni femminili
🤴	prinċep
👸	fantasija, prinċipessa, ħrafa
👳	persuna liebsa turban, turban
👳‍♂	raġel, raġel liebes turban, turban
👳‍♀	mara, mara liebsa turban, turban
👲	gua pi mao, kappell, raġel, raġel b’kappell Ċiniż
🧕	hijab, mantilla, mara b’velu, tichel, velu
🤵	għarus, raġel, raġel b’tuxedo, tuxedo
👰	għarusa, għarusa b’velu, velu, żwieġ
🤰	mara, mara tqila, tqila
🤱	irdigħ, sider, tarbija, treddigħ
👼	anġlu, anġlu tarbija, fantasija, tarbija, wiċċ, ħrafa
🎅	Milied, Santa Klaws, klaws, missier, santa, ċelebarazzjoni
🤶	Is-Sinjura, Is-Sinjura Klaws, Klaws, il-Milied, omm, ċelebarazzjoni
🧙	magu, saħħar, saħħara
🧙‍♂	assistent, raġel magu, saħħar
🧙‍♀	mara magu, saħħar, saħħara
🧚	Oberon, Puck, Titania, fatatina
🧚‍♂	Oberon, Puck, fatat maskil
🧚‍♀	Titania, fatat femminil
🧛	Dracula, qam mil-mewt, vampira
🧛‍♂	Dracula, qam mil-mewt, raġel vampira
🧛‍♀	mara vampira, qam mil-mewt
🧜	merman, merperson, merwoman, serena
🧜‍♂	Triton, merman
🧜‍♀	merwoman, serena
🧝	għafrit, maġiku
🧝‍♂	għafrit raġel, maġiku
🧝‍♀	għafrit mara, maġiku
🧞	djinn, ġenju
🧞‍♂	djinn, ġenju raġel
🧞‍♀	djinn, ġenju mara
🧟	mejtin jimxu, qam mil-mewt, żombi
🧟‍♂	mejtin jimxu, qam mil-mewt, raġel żombi
🧟‍♀	mara żombi, mejtin jimxu, qam mil-mewt
💆	massaġġi, persuna tingħata massaġġ, salon, wiċċ
💆‍♂	massaġġi, raġel, raġel jingħata massaġġ, wiċċ
💆‍♀	mara, mara tingħata massaġġ, massaġġi, wiċċ
💇	parrukkier, persuna taqta’ xagħarha, qatgħa xagħar, tas-sbuħija, ħanut
💇‍♂	qatgħa xagħar, raġel, raġel jaqta’ xagħaru
💇‍♀	mara, mara taqta’ xagħarha, qatgħa xagħar
🚶	bil-mixi, mixja, persuna timxi, ħajk
🚶‍♂	mixja, raġel, raġel miexi, ħajk
🚶‍♀	mara, mara miexja, mixja, ħajk
🏃	maratona, persuna tiġri, qed jiġri
🏃‍♂	maratona, qed ittellaq, qed jiġri, raġel, raġel qed jiġri
🏃‍♀	mara, mara qed tiġri, maratona, qed ittellaq, qed tiġri
💃	mara, mara tiżfen, tiżfen
🕺	jiżfen, raġel, raġel jiżfen
🕴️	libsa, negozju, raġel, raġel jillevita b’libsa ta’ negozju
👯	jiddevertu, persuni b’widnejn ta’ fenek jiddevertu, widnejn ta’ fenek, żeffien
👯‍♂	jiddevertu, rġiel, rġiel b’widnejn ta’ fenek jiddevertu, widnejn ta’ fenek, żeffien
👯‍♀	jiddevertu, nisa, nisa b’widnejn ta’ fenek jiddevertu, widnejn ta’ fenek, żeffien
🧖	kamra tal-fwar, persuna f’kamra tal-fwar, sawna
🧖‍♂	kamra tal-fwar, raġel f’kamra tal-fwar, sawna
🧖‍♀	kamra tal-fwar, mara f’kamra tal-fwar, sawna
🧗	persuna li titla’, persuna tiela’
🧗‍♂	persuna li titla’, raġel tiela’
🧗‍♀	mara tiela’, persuna li titla’
🤺	fencer, fencing, persuna fencing, xabla
🏇	itellaq, jockey, żiemel, żiemel itellaq, żiemel tat-tlielaq
⛷️	silġ, skier, skis
🏂️	silġ, skis, snowboard, snowboarder
🏌️	ballun, golf, persuna tilgħab il-golf
🏌‍♂	golf, raġel, raġel jilgħab il-golf
🏌‍♀	golf, mara, mara tilgħab il-golf
🏄️	persuna surfing, surfing
🏄‍♂	raġel, raġel surfing, surfing
🏄‍♀	mara, mara surfing, surfing
🚣	dgħajsa, dgħajsa bil-moqdief, persuna taqdef dgħajsa
🚣‍♂	dgħajsa, dgħajsa bil-moqdief, raġel, raġel taqdef dgħajsa
🚣‍♀	dgħajsa, dgħajsa bil-moqdief, mara, mara taqdef dgħajsa
🏊️	għawma, persuna tgħum
🏊‍♂	għawma, raġel, raġel jgħum
🏊‍♀	mara, mara tgħum, tgħum
⛹️	ballun, persuna tqabbeż ballun
⛹‍♂	ballun, raġel, raġel iqabbeż ballun
⛹‍♀	ballun, mara, mara tqabbeż ballun
🏋️	irfigħ, jerfa’, persuna terfa’ l-piż, piż
🏋‍♂	jerfa’ l-piż, raġel, raġel jerfa’ l-piżijiet
🏋‍♀	mara, mara terfa’ l-piżijiet, terfa’ l-piż
🚴	persuna ssuq rota, rota, ċiklist, ġiri bir-rota
🚴‍♂	raġel, raġel isuq rota, rota, ċiklist, ġiri bir-rota
🚴‍♀	mara, mara ssuq rota, rota, ċiklist, ġiri bir-rota
🚵	muntanja, persuna ssuq mountain bike, persuna ssuq rota, rota, ċiklist
🚵‍♂	muntanja, persuna ssuq rota, raġel, raġel isuq mountain bike, rota
🚵‍♀	mara, mara ssuq mountain bike, muntanja, persuna ssuq rota, rota, ċiklist
🤸	gabrijola, persuna tagħmel gabrijoli, ġinnastika
🤸‍♂	gabrijola, raġel, raġel jagħmel gabrijoli, ġinnastika
🤸‍♀	gabrijola, mara, mara tagħmel gabrijoli, ġinnastika
🤼	persuna jagħmlu r-wrestling, wrestle, wrestler
🤼‍♂	irġiel, irġiel jagħmlu r-wrestling, wrestle
🤼‍♀	nisa, nisa jagħmlu r-wrestling, wrestle
🤽	ilma, persuna tilgħab il-waterpolo, polo
🤽‍♂	raġel, raġel jilgħab il-waterpolo, water polo
🤽‍♀	mara, mara tilgħab il-waterpolo, water polo
🤾	ballun, handball, persuna tilgħab il-handball
🤾‍♂	handball, raġel, raġel jilgħab il-handball
🤾‍♀	handball, mara, mara tilgħab il-handball
🤹	bilanċ, juggle, multitask, persuna tagħmel il-juggling, ħila
🤹‍♂	juggling, multitask, raġel, raġel jagħmel il-juggling
🤹‍♀	juggling, mara, mara tagħmel il-juggling, multitask
🧘	joga, meditazzjoni, persuna fil-pożizzjoni ta’ lotus
🧘‍♂	joga, meditazzjoni, raġel fil-pożizzjoni ta’ lotus
🧘‍♀	joga, mara fil-pożizzjoni ta’ lotus, meditazzjoni
🛀	banju, persuna tieħu banju
🛌	lukanda, persuna fis-sodda, rqad
👭	idejn, koppja, mara, żewġ nisa jżommu jdejhom, żomm
👫	idejn, koppja, mara, raġel, raġel u mara jżommu jdejhom, żomm
👬	Gemini, idejn, koppja, raġel, tewmin, żewġt irġiel iżommu jdejhom, żodjaku, żomm
💏	bewsa, koppja
💑	imħabba, koppja, koppja b’qalb
👪️	familja
🗣️	jitkellmu, ras, silwett, titkellem, titkellem ras, wiċċ
👤	bust, bust f’silwett, silwett
👥	bust, busti f’silwett, silwett
👣	impronta, ipprintja, marki tas-saqajn, ħwejjeġ
🐵	wiċċ, wiċċ ta’ xadina, xadina
🐒	xadina
🦍	gorilla
🐶	kelb, pet, wiċċ, wiċċ ta’ kelb
🐕️	kelb, pet
🐩	kelb, poodle
🐺	lupu, wiċċ, wiċċ ta’ lupu
🦊	volpi, wiċċ, wiċċ ta’ volpi
🐱	pet, qattus, wiċċ, wiċċ ta’ qattus
🐈️	pet, qattus
🦁	Iljun, Leo, wiċċ, wiċċ ta’ ljun, żodjaku
🐯	tigra, wiċċ, wiċċ ta’ tigra
🐅	tigra
🐆	leopard
🐴	wiċċ, wiċċ ta’ żiemel, żiemel
🐎	ekwestri, tlielaq, żiemel, żiemel tat-tiġrija
🦄	unikornu, wiċċ, wiċċ ta’ unikornu
🦓	strixxa, żebra
🦌	ċerva
🐮	baqra, wiċċ, wiċċ ta’ baqra
🐂	Taurus, barri, bhima, żodjaku
🐃	buflu, buflu tal-ilma, ilma
🐄	baqra
🐷	majjal, wiċċ, wiċċ ta’ ħanżir
🐖	ħanżir, ħanżira
🐗	ċingjal, ħanżir
🐽	imnieħer, imnieħer ta’ ħanżir, majjal, wiċċ
🐏	Aries, maskili, muntun, nagħaġ, żodjaku
🐑	femminil, nagħaġ, nagħġa
🐐	Capricorn, mogħża, żodjaku
🐪	dromedarju, ġemel, ħotba
🐫	baktrijan, ġemel, ġemel b’żewġ ħotob, ħotba
🦒	tikek, ġiraff
🐘	iljunfant
🦏	rinoċeronti
🐭	wiċċ, wiċċ ta’ ġurdien, ġurdien
🐁	ġurdien
🐀	far
🐹	pet, wiċċ, wiċċ ta’ ħamster, ħamster
🐰	fenek, pet, wiċċ, wiċċ ta’ fenek
🐇	fenek, pet
🐿️	chipmunk
🦔	bix-xewk, qanfud
🦇	farfett il-lejl, vampira
🐻	ors, wiċċ, wiċċ ta’ ors
🐨	koala, ors
🐼	panda, wiċċ, wiċċ ta’ panda
🐾	ipprintja, marki tas-saqajn ta’ annimal, saqajn, saqajn ta’ annimal
🦃	dundjan, għasfur
🐔	għasfur, tiġieġ, tiġieġa
🐓	għasfur, serduk
🐣	fellus, fellus qed ifaqqas, għasfur, tfaqqis, żgħir
🐤	fellus, fellus żgħir, għasfur, żgħir
🐥	fellus, fellus żgħir iħares ’il quddiem, għasfur, żgħir
🐦️	għasfur
🐧	għasfur, pingwin
🕊️	għasfur, itir, paċi, ħamiema
🦅	ajkla, għasfur
🦆	għasfur, papra
